method,classifier,rep,auroc_full,auroc_red,aurc_full,aurc_red,tag,auroc_penalty,aurc_penalty,kept_features,k_aggr
rf_importance,rf,12,0.9094967532467533,0.8787540584415584,0.061745328922365894,0.07955845387534999,arcene_keep5000,0.03074269480519487,0.017813124952984094,5000,25
rf_importance,rf,13,0.9204545454545454,0.8868709415584416,0.05183033717253539,0.08336953360618822,arcene_keep5000,0.03358360389610382,0.03153919643365283,5000,25
rf_importance,rf,14,0.9144176136363635,0.8664265422077922,0.05854755914410989,0.09092875082360666,arcene_keep5000,0.047991071428571286,0.03238119167949677,5000,25
rf_importance,rf,15,0.9260856331168831,0.9014813311688311,0.04563233273607935,0.06886211702434031,arcene_keep5000,0.024604301948051965,0.02322978428826096,5000,25
rf_importance,rf,16,0.9239549512987012,0.8804281655844155,0.04798884032506159,0.07548170126557525,arcene_keep5000,0.0435267857142857,0.027492860940513668,5000,25
rf_importance,rf,17,0.8990462662337663,0.8873275162337663,0.0644195715184771,0.0743195614838889,arcene_keep5000,0.01171875,0.00989998996541179,5000,25
rf_importance,rf,18,0.8866680194805194,0.8417207792207791,0.07292618167305823,0.11759397571464464,arcene_keep5000,0.044947240259740284,0.04466779404158641,5000,25
rf_importance,rf,19,0.9240564123376623,0.907721185064935,0.04959350883084194,0.0617292017832129,arcene_keep5000,0.016335227272727293,0.012135692952370963,5000,25
rf_importance,rf,20,0.9146712662337663,0.8773843344155845,0.05703046627566569,0.08856991887279748,arcene_keep5000,0.03728693181818177,0.0315394525971318,5000,25
rf_importance,rf,21,0.9134537337662337,0.8871245941558442,0.05511788727464113,0.07370124560973977,arcene_keep5000,0.026329139610389518,0.018583358335098644,5000,25
rf_importance,rf,22,0.9175629058441559,0.8896103896103896,0.05457109348985111,0.07506945227575025,arcene_keep5000,0.027952516233766267,0.02049835878589914,5000,25
rf_importance,rf,23,0.913961038961039,0.8975243506493507,0.05506637364395056,0.07537196396901134,arcene_keep5000,0.01643668831168832,0.020305590325060782,5000,25
rf_importance,rf,24,0.9040685876623377,0.8728693181818182,0.06475546224014878,0.09491038905155631,arcene_keep5000,0.03119926948051943,0.030154926811407537,5000,25
rf_importance,rf,25,0.9122869318181818,0.8690645292207793,0.05852749273261763,0.0868901355741071,arcene_keep5000,0.04322240259740251,0.028362642841489476,5000,25
rf_importance,rf,26,0.9289265422077922,0.8963575487012987,0.04868283314369182,0.07141103596334462,arcene_keep5000,0.03256899350649356,0.022728202819652807,5000,25
rf_importance,rf,27,0.9181716720779222,0.8875811688311689,0.05212162185108587,0.07891176144147316,arcene_keep5000,0.030590503246753276,0.026790139590387292,5000,25
rf_importance,rf,28,0.9211647727272728,0.8815949675324676,0.050635117717454,0.08007499382383174,arcene_keep5000,0.03956980519480524,0.029439876106377737,5000,25
rf_importance,rf,29,0.9217735389610391,0.9052861201298701,0.04857384023138904,0.0651562830288227,arcene_keep5000,0.016487418831169,0.016582442797433664,5000,25
l1_logistic,logistic,0,0.9203530844155844,0.7062702922077922,0.06962822141813657,0.2600231682996068,arcene_keep5000,0.21408279220779214,0.19039494688147024,5000,25
l1_logistic,logistic,1,0.9248173701298701,0.7142857142857143,0.06889283563178654,0.2572664198172264,arcene_keep5000,0.21053165584415579,0.18837358418543987,5000,25
