dataset,method,classifier,rep,penalty_margin,penalty_d
pima,l1_logistic,logistic,5,0.0100745373432965,-0.0005162819070761
pima,l1_logistic,logistic,6,0.0083055228041639,0.0043332544995111
pima,l1_logistic,logistic,7,0.0077330903850498,0.0061205915411877
pima,l1_logistic,logistic,8,0.0100877269677244,0.0025268945500363
pima,l1_logistic,logistic,9,0.0008089507713857,0.0013288273137086
pima,l1_logistic,logistic,10,0.006283562558828,0.0041936062567532
pima,l1_logistic,logistic,11,0.0116817767449323,0.008396637866588
pima,l1_logistic,logistic,12,0.0116674641787741,-9.960252238094824e-06
pima,l1_logistic,logistic,13,0.0087944790604932,0.0023840531957615
pima,l1_logistic,logistic,14,0.0091534761720592,0.0048669846394535
pima,l1_logistic,logistic,15,0.0037581823601797,0.001680615071423
pima,l1_logistic,logistic,16,0.0039833539938147,-0.0024068927282935
pima,l1_logistic,logistic,17,0.0093298434245882,-0.0012016599292478
pima,l1_logistic,logistic,18,0.0062264470362623,0.0021736427455765
pima,l1_logistic,logistic,19,0.0049378743216789,0.0006069110702753
pima,l1_logistic,logistic,20,0.0094408226690033,-0.0004017334844212
pima,l1_logistic,logistic,21,0.0062994634599301,-0.000532331432684
pima,l1_logistic,logistic,22,0.0109849225149202,0.0056355273626864
pima,l1_logistic,logistic,23,0.0052928228596047,0.002627351728056
pima,l1_logistic,logistic,24,0.0036909557304742,0.0037112758662273
pima,l1_logistic,logistic,25,0.0040512312735752,-8.729094667203618e-05
pima,l1_logistic,logistic,26,0.0069256893807145,0.0094933781388501
pima,l1_logistic,logistic,27,0.0054610140135817,0.003858905299944
pima,l1_logistic,logistic,28,0.0090487234782578,0.0024846764771335
pima,l1_logistic,logistic,29,0.0082470033634242,0.0023283778770901
ilpd,mutual_info,rf,0,0.068002070412416,-0.0106863716578296
ilpd,mutual_info,rf,1,0.046867951945278,-0.0586878327389081
ilpd,mutual_info,rf,2,0.0567207474808375,-0.0159026571169217
ilpd,mutual_info,rf,3,0.0466958301365371,-0.0321211302273743
ilpd,mutual_info,rf,4,0.0835612542653988,-0.0327845937569868
