# STATUS: validated  (REPS=30)
# calib_sha256: 82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,calib_sha256
bcw,mutual_info,logistic,isotonic,1.0,brier,0.024974172454057603,0.024599296010955028,0.025365008460683333,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,ece,0.02174497859052894,0.02047944107946852,0.022971042969525887,30,0.004111718522869811,0.9177079296692179,0.002572215231544561,0.005708042638263514,5.5925920605659485e-05,5.5925920605659485e-05,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,ece,0.017633260067659133,0.01680096350514116,0.01843000028792264,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,aurc,0.01739739866113327,0.01594077247762652,0.019070549228919827,30,0.010748815103387183,2.2964050539756085,0.00918090953266477,0.012448304324117454,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,aurc,0.006648583557746087,0.006051034408555558,0.0072845890962250255,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,net_benefit,0.31165515353555623,0.3111903899603968,0.3120986189138683,30,-0.017259512877529273,-12.136237672989694,-0.017747453367756336,-0.01674601751002326,1.862645149230957e-09,1.862645149230957e-09,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,net_benefit,0.32891466641308553,0.32848265539591764,0.3293461656538778,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,conformal_efficiency,0.9359561278016213,0.9348116356700048,0.9371959942775392,30,0.021840724845016632,4.433515007147115,0.02012398664759171,0.023557463042441502,1.7213435893906393e-06,1.7213435893906393e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,conformal_efficiency,0.9141154029566047,0.912827849308536,0.9154506437768241,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,0.25,selective_ece,0.007207541794269207,0.006776286590344877,0.007685066807728195,30,0.0030235315903835097,1.5283928429581066,0.002330150669336992,0.00373737807414132,4.6566128730773926e-08,4.6566128730773926e-08,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,isotonic,1.0,selective_ece,0.004184010203885697,0.003629689425973747,0.004770270770268436,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,accuracy,0.9383881735813068,0.9374821173104434,0.9392942298521697,30,-0.027324749642346158,-8.492143207156406,-0.028469241773962754,-0.026180257510729575,1.658348408536204e-06,1.658348408536204e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,1.0,accuracy,0.9657129232236528,0.9651406771578445,0.9662851692894611,30,,,,,,,False,False,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
bcw,mutual_info,logistic,none,0.25,auroc,0.9792808953475027,0.9789248083857289,0.9796537277959979,30,-0.014827230063962046,-13.217323882544317,-0.015212889645883541,-0.014428090289731707,1.7333066441991056e-06,1.7333066441991056e-06,True,True,False,82fc3197b3b595a1420782ddd9eefbc01b9e279219b75ad42ac3b5a51051d16b
