method,budget_type,budget,frac,k_features,n_features,classifier,calibrate,seed,accuracy,auroc,brier,ece,aurc,auroc_gap,ece_gap,net_benefit,net_benefit_gap,conformal_efficiency,conformal_coverage,conformal_coverage_gap,selective_ece,dataset,rep,runtime_s,calib_sha256
l1_logistic,k,k:32,,32,19993,gb,none,2693698452,0.7272727272727273,0.7772050400916379,0.2169840510444614,0.1689095145894487,0.1742877038169106,,,0.3393689549508079,,1.46524064171123,0.9037433155080212,,0.1760228933082748,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:64,,64,19993,gb,none,2693698452,0.7379679144385026,0.8082474226804124,0.1886417928725947,0.1337423193911869,0.155136524342137,,,0.3768578982963508,,1.4010695187165776,0.9037433155080212,,0.1315130211005105,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:128,,128,19993,gb,none,2693698452,0.7219251336898396,0.8044673539518901,0.2004639551824797,0.1537159725350274,0.1463689931557773,,,0.3680358203750877,,1.4438502673796791,0.9037433155080212,,0.1505672113949546,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:256,,256,19993,gb,none,2693698452,0.7379679144385026,0.8041237113402061,0.1985148364583514,0.1500012932825359,0.1486597066592687,,,0.368482069198333,,1.4331550802139037,0.9037433155080212,,0.1581524774065154,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,frac,frac:1,1.0,19993,19993,gb,none,2657597700,0.7219251336898396,0.7950744558991982,0.2029044582356472,0.1785857519987311,0.1486378540668681,,,0.3662748467803414,,1.4491978609625669,0.9037433155080212,,0.1734532964218065,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:1,,1,19993,gb,none,2657597700,0.5721925133689839,0.5697594501718213,0.2748876439145862,0.169152633728215,0.403663481539583,,,0.287623347326216,,1.7647058823529411,0.9037433155080212,,0.2054082886912709,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:2,,2,19993,gb,none,2657597700,0.5989304812834224,0.6254295532646048,0.2647791016144558,0.1692271665544454,0.3738543207300022,,,0.307184863675973,,1.7379679144385027,0.9037433155080212,,0.1660615897765994,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:4,,4,19993,gb,none,2657597700,0.5989304812834224,0.6447308132875144,0.2918879924448236,0.246547615347108,0.3097426040410458,,,0.2693021400553319,,1.6631016042780749,0.9037433155080212,,0.2645743257124385,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:8,,8,19993,gb,none,2657597700,0.6417112299465241,0.6981672394043528,0.2798005285266982,0.2373896385686756,0.2483928489671026,,,0.293557578026393,,1.588235294117647,0.9037433155080212,,0.2652021695098491,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:16,,16,19993,gb,none,2657597700,0.6577540106951871,0.7630011454753723,0.2514528485150544,0.2221354038770981,0.1843944648182965,,,0.3076515126026519,,1.497326203208556,0.9037433155080212,,0.2258441469254518,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:32,,32,19993,gb,none,2657597700,0.7165775401069518,0.7993127147766322,0.2137975168674787,0.1819305197920784,0.1431395947087031,,,0.3489394139443342,,1.4438502673796791,0.9037433155080212,,0.1827580503521214,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:64,,64,19993,gb,none,2657597700,0.7112299465240641,0.8025200458190149,0.2087732759129314,0.1682878281638781,0.1409969383873985,,,0.3586474134960653,,1.411764705882353,0.9037433155080212,,0.1617899796267782,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:128,,128,19993,gb,none,2657597700,0.7112299465240641,0.793012600229095,0.2091038671507211,0.1895623700906445,0.1482441140491996,,,0.3665845854534797,,1.4705882352941178,0.9037433155080212,,0.181256948067743,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:256,,256,19993,gb,none,2657597700,0.7112299465240641,0.7906071019473081,0.2088292054326592,0.1693473759317539,0.1491190587792005,,,0.3664174048077874,,1.4705882352941178,0.9037433155080212,,0.1585316703377899,smk_can_187,2,60.276,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,frac,frac:1,1.0,19993,19993,gb,none,3866917435,0.6684491978609626,0.7540664375715922,0.2249297822195718,0.2041280468712298,0.18006068192632,,,0.3635994816140451,,1.427807486631016,0.9037433155080212,,0.1821470183858831,smk_can_187,3,60.037,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:1,,1,19993,gb,none,3866917435,0.5294117647058824,0.5297823596792669,0.30825392293529,0.2289135139198674,0.4250781401143738,,,0.2687902822536724,,1.7486631016042782,0.9037433155080212,,0.2639614141241816,smk_can_187,3,60.037,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
