# STATUS: validated  (REPS=30)
# calib_sha256: 19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,calib_sha256
cleveland,l1_logistic,gb,none,0.25,conformal_efficiency,1.281848184818482,1.272057205720572,1.291859185918592,30,-0.0033003300330033403,-0.08123982377364582,-0.018041804180418067,0.010451045104510413,0.6956555437061681,1.0,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,conformal_efficiency,1.2540154015401541,1.2444416941694167,1.2632563256325633,30,-0.031133113311331152,-0.951344136111896,-0.04268701870187023,-0.02023927392739276,3.864929742985515e-05,0.0001545971897194206,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,conformal_efficiency,1.2863586358635863,1.2746947194719471,1.2986798679867986,30,0.0012101210121011916,0.03268778413897865,-0.011441144114411416,0.013971397139713944,0.9273892910354858,1.0,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,conformal_efficiency,1.288558855885589,1.276897689768977,1.2998899889988997,30,0.003410341034103374,0.09983231478640181,-0.008580858085808626,0.014854235423542281,0.46210671442690965,1.0,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,conformal_efficiency,1.2851485148514852,1.2751375137513754,1.2964796479647966,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.25,conformal_coverage_gap,0.03531178060254221,0.029294698562039086,0.04130079571614445,30,-0.00922830547492744,-0.4885299039354905,-0.016094776965936034,-0.0028189954292196346,0.01529800927186112,0.06119203708744448,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,conformal_coverage_gap,0.04492376472158265,0.0378468955393186,0.05234377606512519,30,0.00038367864411301676,0.0133704461617928,-0.009725419544256512,0.010836419444166412,0.7607590296160791,0.7607590296160791,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,conformal_coverage_gap,0.050395355820238144,0.0416975277749974,0.059093183865478884,30,0.0058552697427684906,0.21482738155220457,-0.0038534681213091898,0.015163647282554312,0.2900257427666296,0.5800514855332592,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,conformal_coverage_gap,0.03664297868081265,0.030682614352917536,0.04230807726954253,30,-0.007897107396656996,-0.4535254537205551,-0.01406766089480533,-0.0017265538985086696,0.032390391125547965,0.0971711733766439,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,conformal_coverage_gap,0.04454008607746965,0.038980082073866405,0.05010009008107292,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.25,selective_ece,0.07429700684631618,0.06875947408530371,0.08025787233004208,30,-0.036938412079916674,-1.805218704030368,-0.04432690061679021,-0.02978398275656829,5.587935447692871e-09,1.6763806343078613e-08,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,selective_ece,0.07873086047020335,0.07419648189922783,0.08336702684852319,30,-0.03250455845602948,-2.3579467783838277,-0.03742338210517847,-0.027777564381349186,1.862645149230957e-09,7.450580596923828e-09,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,selective_ece,0.09888931251780356,0.09475798186949241,0.10281578148946101,30,-0.012346106408429288,-0.9822198760794687,-0.016917149063792783,-0.008055877008630254,5.144625902175903e-06,1.0289251804351807e-05,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,selective_ece,0.10840340682682369,0.10343913238091934,0.11366475208846079,30,-0.002832012099409159,-0.1850952181908145,-0.007982917446838165,0.002546096978271369,0.28008678182959557,0.28008678182959557,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,selective_ece,0.11123541892623284,0.10698172321388337,0.11639610735268827,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,logistic,none,0.25,accuracy,0.8028602860286028,0.7996699669966996,0.8059405940594059,30,-0.028162816281628155,-2.494130318060158,-0.03201320132013201,-0.02431243124312431,1.6922717396102948e-06,6.769086958441179e-06,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
