kept_features,method,classifier,rep,auroc_full,auroc_red,auroc_penalty
256,l1_logistic,logistic,10,0.9068587662337663,0.8683035714285714,0.03855519480519487
256,l1_logistic,logistic,11,0.9110186688311688,0.885551948051948,0.02546672077922074
256,l1_logistic,logistic,12,0.8988433441558442,0.8487215909090909,0.050121753246753276
256,l1_logistic,logistic,13,0.8788555194805194,0.8394886363636364,0.03936688311688308
256,l1_logistic,logistic,14,0.9128449675324676,0.8690137987012987,0.04383116883116889
256,l1_logistic,logistic,15,0.8948863636363636,0.8474025974025974,0.04748376623376627
256,l1_logistic,logistic,16,0.9098011363636364,0.8695211038961039,0.04028003246753242
256,l1_logistic,logistic,17,0.8708400974025975,0.8129058441558442,0.057934253246753276
256,l1_logistic,logistic,18,0.8745941558441559,0.859172077922078,0.015422077922077948
256,l1_logistic,logistic,19,0.8863636363636364,0.8459821428571429,0.04038149350649345
256,l1_logistic,logistic,20,0.8813920454545454,0.8606939935064936,0.020698051948051854
256,l1_logistic,logistic,21,0.9022930194805197,0.8720576298701299,0.03023538961038974
256,l1_logistic,logistic,22,0.895900974025974,0.8509537337662337,0.044947240259740284
256,l1_logistic,logistic,23,0.8868709415584416,0.8309659090909091,0.055905032467532534
256,l1_logistic,logistic,24,0.8832183441558442,0.8622159090909092,0.021002435064935043
256,l1_logistic,logistic,25,0.869724025974026,0.8039772727272728,0.06574675324675316
256,l1_logistic,logistic,26,0.8862621753246753,0.869724025974026,0.016538149350649345
256,l1_logistic,logistic,27,0.8669845779220778,0.835836038961039,0.031148538961038863
256,l1_logistic,logistic,28,0.8648538961038962,0.794237012987013,0.07061688311688319
256,l1_logistic,logistic,29,0.8875811688311688,0.8338068181818182,0.053774350649350544
